sub,timeWindow,exp,afterReversalD,rotationSpeed,torsionVelTMean,torsionAngleSameMean,torsionAngleAntiMean,torsionAngleTotalMean,perceptualErrorMean,sacNumTMean,sacAmpSumTMean
1,-1,2,-1,25,-0.711523150374615,0.0499839322080347,-0.405504885405972,0.455488817614007,9.36845153396709,0.315789473684211,0.0623146854622074
1,-1,2,1,25,0.578741695626036,0,0,0.42971800359529,11.2641162831035,0.2,0.0928641133038383
1,-1,2,0,25,-0.0498488703742816,0.0243511464603246,-0.197553662120858,0.442273015553126,10.340587302755,0.256410256410256,0.0779810587143258
1,-1,2,-1,50,-0.655906896649211,0.0696623943231327,-0.415348679958757,0.48501107428189,12.7085084305026,0.428571428571429,0.136106541634307
1,-1,2,1,50,0.62805512792599,0,0,0.4465448127256,11.0939412361725,0.333333333333333,0.089622952030252
1,-1,2,0,50,-0.0139258843616105,0.0348311971615663,-0.207674339979379,0.465777943503745,11.9012248333375,0.380952380952381,0.11286474683228
1,-1,2,-1,100,-0.668005265327145,0.0660191474052897,-0.416816229473917,0.482835376879206,13.7812211744247,0.478260869565217,0.210446442548014
1,-1,2,1,100,0.862227821213306,0,0,0.52791464258267,12.3080168172525,0.454545454545455,0.133685062520298
1,-1,2,0,100,0.0801086880926315,0.0337431197849258,-0.213039406175557,0.504874129000899,13.0609879331406,0.466666666666667,0.172918656756686
1,-1,2,-1,200,-0.557332963204304,0.130211083527407,-0.404053075199847,0.534264158727254,12.9268975938217,0.5,0.175719851178973
1,-1,2,1,200,0.676420733003498,0,0,0.455284607642323,14.0787013635176,0.521739130434783,0.131906160300362
1,-1,2,0,200,0.0464188455782374,0.0664907660565481,-0.206324974570135,0.495614591175053,13.4905462470771,0.51063829787234,0.154279108834121
2,-1,2,-1,25,-0.240882107474226,0.0542084107961708,-0.195485754167862,0.249694164964032,3.13200095288344,0.03125,0.0115483624249361
2,-1,2,1,25,0.0342351451460544,0,0,0.145388995197171,1.56031837823228,0.0689655172413793,0.0228741357964968
2,-1,2,0,25,-0.110088659507207,0.0284371991061879,-0.102549903825764,0.200106461304377,2.38480759772142,0.0491803278688525,0.0169327464868256
2,-1,2,-1,50,-0.148604693992477,0.0768230240404327,-0.154289075260713,0.231112099301146,3.8626492656151,0.0666666666666667,0.0241251612588249
2,-1,2,1,50,0.145390796220845,0,0,0.209275837761233,2.08079705540542,0.1,0.0281790839308145
2,-1,2,0,50,-0.00160694888581609,0.0384115120202163,-0.0771445376303566,0.220193968531189,2.97172316051026,0.0833333333333333,0.0261521225948197
2,-1,2,-1,100,-0.105620763331567,0.0676975580682835,-0.124571670360833,0.192269228429116,4.73999685656836,0.0645161290322581,0.0289181764869136
2,-1,2,1,100,0.0490628394497391,0,0,0.224987923225582,3.43623157459764,0.0588235294117647,0.0214107732373141
2,-1,2,0,100,-0.0247093403382684,0.0322865276941045,-0.0594111043259356,0.209383622630344,4.0580273244606,0.0615384615384615,0.0249912270948154
2,-1,2,-1,200,-0.0195800967167321,0.100571723626132,-0.103359661667915,0.203931385294047,8.93350425272484,0.0689655172413793,0.0191370387318143
2,-1,2,1,200,0.0361681689705888,0,0,0.200653166214516,5.26756067297342,0.0625,0.0226883781365123
2,-1,2,0,200,0.00966489511923952,0.0478127866419316,-0.0491381998093367,0.202211663809703,7.01038630924869,0.0655737704918033,0.0210000364523116
3,-1,2,-1,25,-0.105707730429582,0.164801972202047,-0.207285380430395,0.372087352632442,5.08398977722818,0.171428571428571,0.0475287061028151
3,-1,2,1,25,0.181720900969221,0,0,0.351856216921142,4.00204546501891,0.103448275862069,0.0501191072979484
3,-1,2,0,25,0.0245333681730005,0.0901260785479945,-0.113359192422872,0.362920119263259,4.59373376075836,0.140625,0.0487024816443599
3,-1,2,-1,50,-0.164333323096864,0.150123667275748,-0.212935139890219,0.363058807165967,6.26989726178327,0.114285714285714,0.0367195929869633
3,-1,2,1,50,0.103762810608085,0,0,0.366184308794064,6.13001537901736,0.0588235294117647,0.0136039156570315
3,-1,2,0,50,-0.0322279818509471,0.0761496862992925,-0.108010578205184,0.364598909417493,6.20096995723195,0.0869565217391304,0.0253292592301853
3,-1,2,-1,100,-0.065761398096243,0.155839431476958,-0.187511439392157,0.343350870869116,9.34241480357453,0.032258064516129,0.0167543176149093
3,-1,2,1,100,0.0705113542501909,0,0,0.34241523801475,8.40064068061876,0.03125,0.0119534986063671
3,-1,2,0,100,0.00345650785750114,0.0766828948537414,-0.0922675336691567,0.342875628784359,8.8640533442954,0.0317460317460317,0.0143158063724752
3,-1,2,-1,200,-0.150935050334945,0.1589349765573,-0.216016312228077,0.374951288785377,11.6500407228917,0.121212121212121,0.0489630902144941
3,-1,2,1,200,0.109112760548827,0,0,0.330877655543829,9.35798994611783,0.0303030303030303,0.0126323007229851
3,-1,2,0,200,-0.0209111448930587,0.0794674882786501,-0.108008156114038,0.352914472164603,10.5040153345048,0.0757575757575758,0.0307976954687396
4,-1,2,-1,25,0.289191745017971,0.289674798042587,-0.135986927792462,0.425661725835048,6.00268071172782,0.523809523809524,0.305496463627418
4,-1,2,1,25,-0.296312333961584,0,0,0.350228949930052,4.85841805865524,0.571428571428571,0.197250630153885
4,-1,2,0,25,-0.00356029447180659,0.144837399021293,-0.0679934638962308,0.38794533788255,5.43054938519152,0.547619047619048,0.251373546890652
4,-1,2,-1,50,0.629454247531518,0.389250077617315,-0.0745226132715414,0.463772690888857,11.6148372394448,0.882352941176471,0.382426305686203
4,-1,2,1,50,-0.563060873656593,0,0,0.395118045918952,7.35078078968002,0.578947368421053,0.298991871976692
4,-1,2,0,50,7.12669044593704e-05,0.183812536652621,-0.0351912340448946,0.427538294932518,9.36436300206895,0.722222222222222,0.33839146567285
4,-1,2,-1,100,0.747562221552864,0.443504617273824,-0.0574178719310037,0.500922489204828,7.3694006747437,0.388888888888889,0.170034388305217
4,-1,2,1,100,-0.292717988530965,0,0,0.348175583665434,4.90149555413927,0.6,0.204173713107104
4,-1,2,0,100,0.200046321508743,0.210081134498127,-0.0271979393357386,0.420529381026199,6.07050324284663,0.5,0.188002453990421
4,-1,2,-1,200,0.334025383594951,0.297674583226215,-0.101904313901189,0.399578897127404,11.8025384144253,0.272727272727273,0.156754617109653
4,-1,2,1,200,-0.509849593153038,0,0,0.353128353992858,9.36803106645199,0.4375,0.172842905054142
4,-1,2,0,200,-0.0212903960884128,0.172337916604651,-0.0589972343638463,0.380020773702332,10.7774826889629,0.342105263157895,0.16352863308628
5,-1,2,-1,25,0.530261660355423,0.310546753061476,-0.0190656150407288,0.329612368102205,2.52666141165462,0.153846153846154,0.0566746726369081
5,-1,2,1,25,-0.457243253491345,0,0,0.251438359006972,3.46034496729852,0,0
5,-1,2,0,25,0.00957725123621766,0.146803919629061,-0.00901283620107181,0.288393345124718,3.01896728644868,0.0727272727272727,0.0267916634283566
5,-1,2,-1,50,0.420561294725753,0.239741537022203,-0.00206775525120589,0.241809292273409,3.68080294924729,0.0416666666666667,0.0130386488872406
5,-1,2,1,50,-0.366260304635165,0,0,0.247038184148394,5.06839283375901,0.103448275862069,0.0557348060729883
5,-1,2,0,50,-0.00996373133965455,0.108562205444016,-0.000936342000546065,0.244670384054061,4.44005024454615,0.0754716981132075,0.0364006971586875
5,-1,2,-1,100,0.379026479336601,0.240807955396768,-0.0156002382345571,0.256408193631325,4.08795576045027,0.0416666666666667,0.00860925324110883
5,-1,2,1,100,-0.504195850630809,0,0,0.300340140712889,6.85229742139775,0.107142857142857,0.0322004261575377
5,-1,2,0,100,-0.096554775261235,0.111142133260047,-0.00720010995441096,0.280063857444475,5.57644742403737,0.0769230769230769,0.0213121925038013
5,-1,2,-1,200,0.496492543893078,0.317300996574081,-0.0169917574211304,0.334292753995211,6.25197938770844,0.0416666666666667,0.0124885200059989
5,-1,2,1,200,-0.494607640950257,0,0,0.263974715748107,10.2574963801634,0.137931034482759,0.037446110195755
5,-1,2,0,200,-0.0458075572476145,0.143683470146754,-0.00769438071900243,0.295816846275097,8.44367736471209,0.0943396226415094,0.0261445599211485
6,-1,2,-1,25,-0.01004253411681,0.123867701803801,-0.142238037288897,0.266105739092698,6.04902201939356,0.416666666666667,0.123016706186809
6,-1,2,1,25,-0.0608344858624184,0,0,0.215997284223702,4.87818780346632,0.3125,0.133996567404437
6,-1,2,0,25,-0.039066506542872,0.0530861579159147,-0.0609591588380987,0.237472336310414,5.37997389600657,0.357142857142857,0.129290912596882
6,-1,2,-1,50,0.0944499332401364,0.155054988012678,-0.121303333182715,0.276358321195393,6.39543965888969,0.529411764705882,0.291821972630405
6,-1,2,1,50,-0.171076644017728,0,0,0.171161241531923,6.24970941469331,0.176470588235294,0.0789751564841704
6,-1,2,0,50,-0.0383133553887955,0.0775274940063388,-0.0606516665913577,0.223759781363658,6.3225745367915,0.352941176470588,0.185398564557288
6,-1,2,-1,100,0.13453149365355,0.194382521985805,-0.111256593691364,0.305639115677169,7.90646733337132,0.5,0.181842759422943
6,-1,2,1,100,0.0569999195000171,0,0,0.286193685291725,6.68322129398591,0.473684210526316,0.172026085007163
6,-1,2,0,100,0.0924429248273463,0.0888605814792251,-0.0508601571160521,0.295083024896499,7.24241948341924,0.485714285714286,0.176513707597234
6,-1,2,-1,200,0.0587158656035723,0.164641481708612,-0.140462680546969,0.305104162255581,10.2348770132685,0.263157894736842,0.0981460068960647
6,-1,2,1,200,-0.149251990302023,0,0,0.269788853200121,8.25090970507644,0.478260869565217,0.187077821090596
6,-1,2,0,200,-0.0551712935828251,0.0744806702967529,-0.0635426411998194,0.285764826344258,9.14841872544905,0.380952380952381,0.146846762288308
7,-1,2,-1,25,0.679552701683921,0.386318763895007,-0.0232645711295767,0.409583335024584,2.84829943467813,0.25,0.0706273693583936
7,-1,2,1,25,-0.529343722253284,0,0,0.373581105463174,2.15180657498223,0.25,0.101756942866636
7,-1,2,0,25,0.00794357727436275,0.171697228397781,-0.010339809390923,0.389582096379356,2.46135895706929,0.25,0.0879215768629725
7,-1,2,-1,50,0.840758691532975,0.484619482314477,-0.015843123837389,0.500462606151866,4.90121797685831,0.2,0.08945610273917
7,-1,2,1,50,-0.703244743532239,0,0,0.427464785596953,4.00093219504833,0.473684210526316,0.171675541909124
7,-1,2,0,50,0.0885518898345375,0.248522811443321,-0.00812467889096872,0.464899565368703,4.46261721136114,0.333333333333333,0.129511726950173
7,-1,2,-1,100,0.611603338678744,0.343045144274036,-0.0282334494791863,0.371278593753222,5.01618533339504,0.210526315789474,0.0747465028288164
7,-1,2,1,100,-0.858882245400348,0,0,0.552470581668587,5.45728688641887,0.363636363636364,0.122216883972769
7,-1,2,0,100,-0.177437706436866,0.158972140029431,-0.0130837936610863,0.46850356287854,5.25287397160295,0.292682926829268,0.100218414662157
7,-1,2,-1,200,0.643736319360227,0.354865882567637,-0.00788659053967864,0.362752473107315,7.23568043622338,0.25,0.108485397672811
7,-1,2,1,200,-0.745865715027349,0,0,0.459605887342825,6.50020160649983,0.421052631578947,0.137460705958279
7,-1,2,0,200,-0.0332492871362842,0.181982503880839,-0.0040444054049634,0.409937469786153,6.87737023712729,0.333333333333333,0.122601573504193
8,-1,2,-1,25,0.33144959536892,0.309731190247913,-0.133730726612155,0.443461916860068,5.83316496891038,0.136363636363636,0.0967435625240425
8,-1,2,1,25,-0.271168076205459,0,0,0.337079292298083,4.75793722934948,0.291666666666667,0.139560350406557
8,-1,2,0,25,0.0170403754170703,0.148132308379437,-0.0639581735971176,0.387957938827728,5.27217658305252,0.217391304347826,0.119082756201876
8,-1,2,-1,50,0.530868128884152,0.398045578810737,-0.104372018823593,0.50241759763433,8.39438190281938,0.28,0.113963542642651
8,-1,2,1,50,-0.484215907453143,0,0,0.367008192934775,6.00837336758423,0.137931034482759,0.090214424017507
8,-1,2,0,50,-0.0142695943340253,0.184280360560526,-0.048320379084997,0.429697732147532,7.11300694871161,0.203703703703704,0.101209386343962
8,-1,2,-1,100,0.454896694148256,0.33757599821898,-0.0624347281672032,0.400010726386183,9.72972400192033,0.230769230769231,0.108971317931942
8,-1,2,1,100,-0.257942143869576,0,0,0.345714909450299,8.18767714427794,0.333333333333333,0.202535249884443
8,-1,2,0,100,0.0917523804410585,0.165603319881009,-0.0306283572140997,0.372350593230167,8.94415296123458,0.283018867924528,0.156635962511518
8,-1,2,-1,200,0.367913683131459,0.342522456350926,-0.120379080095268,0.462901536446194,14.837076365308,0.347826086956522,0.206778910320483
8,-1,2,1,200,-0.151909826756,0,0,0.378840921547195,9.36637730689026,0.344827586206897,0.115799978063061
8,-1,2,0,200,0.0780121103096069,0.15150031723214,-0.0532445931190609,0.416021578137137,11.7861095827289,0.346153846153846,0.156040659638459
9,-1,2,-1,25,0.0828284148433283,0.260475244987427,-0.242045957534739,0.502521202522166,8.46037068506254,0.538461538461538,0.400514838408448
9,-1,2,1,25,0.0511004182674596,0,0,0.390050022751078,8.0878506289131,0.515151515151515,0.271493656835219
9,-1,2,0,25,0.065082247266995,0.1147857011809,-0.106664320269546,0.439613593497659,8.25201200958912,0.525423728813559,0.328350448714947
9,-1,2,-1,50,-0.241601582546204,0.229814817094498,-0.298040400540891,0.527855217635388,10.4028618879967,0.608695652173913,0.384240205473112
9,-1,2,1,50,0.0775893388822674,0,0,0.542113315128676,10.778221567272,0.565217391304348,0.260879017031274
9,-1,2,0,50,-0.0820061218319682,0.114907408547249,-0.149020200270445,0.534984266382032,10.5905417276343,0.58695652173913,0.322559611252193
9,-1,2,-1,100,0.0482817718889121,0.250336380721368,-0.196518438167336,0.446854818888704,13.1449048254215,0.434782608695652,0.305041341117597
9,-1,2,1,100,-0.0468696354187247,0,0,0.457591152461949,12.0268322750119,0.4,0.207687046713799
9,-1,2,0,100,-0.00127625275048206,0.119952849095655,-0.0941650849551821,0.452446659291436,12.5625753720832,0.416666666666667,0.254335979448952
9,-1,2,-1,200,0.0138211183311294,0.226817072195202,-0.225273539502405,0.452090611697607,14.8619207278252,0.392857142857143,0.225267643822183
9,-1,2,1,200,0.311581932718648,0,0,0.445692980573058,11.8241837404053,0.518518518518518,0.316094236340137
9,-1,2,0,200,0.159994609030457,0.115470509481194,-0.114684711019406,0.448949956418283,13.37066802491,0.454545454545455,0.269855243785543
10,-1,2,-1,25,-0.848352070878811,0.0344328892698295,-0.45667608273369,0.49110897200352,1.50971058761705,0.166666666666667,0.0935579936971485
10,-1,2,1,25,0.634757413609822,0,0,0.491131685306443,0.559205007178798,0.192307692307692,0.11187108542287
10,-1,2,0,25,-0.0771351389447221,0.0165277868495181,-0.219204519712171,0.49112078292104,1.01544768578916,0.18,0.103080801394524
10,-1,2,-1,50,-0.609537238252011,0.0844180185246124,-0.44682629228572,0.531244310810332,2.59504214312122,0,0
10,-1,2,1,50,0.616913517531711,0,0,0.531482338855095,2.43273860480973,0.230769230769231,0.144594166167936
10,-1,2,0,50,-0.0190239113931819,0.0437723059016509,-0.231687707111114,0.531358916905958,2.51689599504532,0.111111111111111,0.0696194133401175
10,-1,2,-1,100,-0.721352479287685,0.0474649318644705,-0.465658388739483,0.513123320603954,4.14973973566369,0.148148148148148,0.111318784244036
10,-1,2,1,100,0.681087949155678,0,0,0.517321645418489,4.72114697558054,0.0645161290322581,0.0392519638394446
10,-1,2,0,100,0.0282277497079052,0.0220957441438052,-0.216772008551139,0.515367252832412,4.45514705355028,0.103448275862069,0.0728003112691682
10,-1,2,-1,200,-0.887318053344336,0.0236936293176176,-0.530422539350417,0.554116168668035,4.23541320489669,0.173913043478261,0.09553677214867
10,-1,2,1,200,0.688918136500857,0,0,0.558138650999477,5.31118556936648,0.111111111111111,0.085864908059555
10,-1,2,0,200,-0.0361505108279323,0.0108990694861041,-0.243994368101192,0.556288309127014,4.81633028171038,0.14,0.0903139655405479
1,0,2,-1,25,0.0380236929028742,0.037060363427674,-0.0585121198368917,0.0955724832645657,9.36845153396709,0.0526315789473684,0.00961336983130308
1,0,2,1,25,0.587958069489652,0,0,0.135623827959859,11.2641162831035,0,0
1,0,2,0,25,0.320041321921734,0.0180550488493796,-0.0285059045359216,0.116111634390357,10.340587302755,0.0256410256410256,0.00468343658448099
1,0,2,-1,50,-0.250912475867607,0.0406704568665834,-0.0830307450368151,0.123701201903398,12.7085084305026,0,0
1,0,2,1,50,0.624523517743298,0,0,0.116512936742576,11.0939412361725,0.0476190476190476,0.0121957886426285
1,0,2,0,50,0.186805520937846,0.0203352284332917,-0.0415153725184075,0.120107069322987,11.9012248333375,0.0238095238095238,0.00609789432131427
1,0,2,-1,100,-0.0982635207788083,0.0421725325478906,-0.0585844180376846,0.100756950585575,13.7812211744247,0,0
1,0,2,1,100,0.510853159818029,0,0,0.106557002885161,12.3080168172525,0.0454545454545455,0.00350635674058322
1,0,2,0,100,0.199526856401868,0.0215548499689219,-0.0299431469970388,0.103592531709817,13.0609879331406,0.0222222222222222,0.0017142188509518
1,0,2,-1,200,-0.270377727902163,0.0279202581086473,-0.0710664960683427,0.09898675417699,12.9268975938217,0,0
1,0,2,1,200,0.0245290010205619,0,0,0.0904346484275048,14.0787013635176,0,0
1,0,2,0,200,-0.126061669067638,0.0142571530767561,-0.0362892745880899,0.0948016811506462,13.4905462470771,0,0
2,0,2,-1,25,-0.185824470161758,0.0199644860736019,-0.0484573608200807,0.0684218468936827,3.13200095288344,0,0
2,0,2,1,25,0.201666162883321,0,0,0.0509012660050178,1.56031837823228,0,0
2,0,2,0,25,-0.00160761182885167,0.0104731730222174,-0.0254202548564358,0.0600923904056289,2.38480759772142,0,0
2,0,2,-1,50,-0.110112456027529,0.033078920535051,-0.0515636879681567,0.0846426085032077,3.8626492656151,0,0
2,0,2,1,50,0.045675744802823,0,0,0.0694150977191599,2.08079705540542,0,0
2,0,2,0,50,-0.0322183556123532,0.0165394602675255,-0.0257818439840783,0.0770288531111838,2.97172316051026,0,0
2,0,2,-1,100,-0.205487229169046,0.0153583032830481,-0.0485733803457741,0.0639316836288223,4.73999685656836,0,0
2,0,2,1,100,0.0624770250885197,0,0,0.0563166422071129,3.43623157459764,0,0
2,0,2,0,100,-0.0653213115573963,0.0073247292580691,-0.0231657660110615,0.0599484311928512,4.0580273244606,0,0
2,0,2,-1,200,-0.237325569125857,0.0245381278775933,-0.0622917230285578,0.0868298509061511,8.93350425272484,0,0
2,0,2,1,200,0.00446338300691299,0,0,0.0840668586471142,5.26756067297342,0,0
2,0,2,0,200,-0.110485463088994,0.0116656673516427,-0.0296140978332488,0.0853804123440334,7.01038630924869,0,0
3,0,2,-1,25,-0.288221529147992,0.011064560872671,-0.0559884892570568,0.0670530501297278,5.08398977722818,0,0
3,0,2,1,25,0.128570382411246,0,0,0.0554029532632238,4.00204546501891,0,0
3,0,2,0,25,-0.0993626942227121,0.00605093172724194,-0.0306187050624529,0.0617740999870932,4.59373376075836,0,0
3,0,2,-1,50,-0.347065776951053,0.0128755485797427,-0.0691250218465656,0.0820005704263083,6.26989726178327,0,0
3,0,2,1,50,0.167497141872535,0,0,0.0678117775353976,6.13001537901736,0,0
3,0,2,0,50,-0.0935130343423282,0.00653107536653615,-0.0350634168786927,0.0750089913206422,6.20096995723195,0,0
3,0,2,-1,100,-0.0749980397738231,0.0320130837434856,-0.0416838501259184,0.073696933869404,9.34241480357453,0,0
3,0,2,1,100,0.166377799667102,0,0,0.0573439371707639,8.40064068061876,0,0
3,0,2,0,100,0.0476055612120437,0.0157524697785406,-0.0205111008556107,0.0653906498319995,8.8640533442954,0,0
3,0,2,-1,200,-0.0247489427591092,0.0331983378739744,-0.0362544393940454,0.0694527772680198,11.6500407228917,0,0
3,0,2,1,200,0.210828772820087,0,0,0.0741595780008824,9.35798994611783,0,0
3,0,2,0,200,0.0930399150304887,0.0165991689369872,-0.0181272196970227,0.0718061776344511,10.5040153345048,0,0
4,0,2,-1,25,0.241379220497619,0.0664598838984924,-0.0223719623848503,0.0888318462833427,6.00268071172782,0,0
4,0,2,1,25,-0.375754662822315,0,0,0.132281320189295,4.85841805865524,0,0
4,0,2,0,25,-0.0671877211623476,0.0332299419492462,-0.0111859811924251,0.110556583236319,5.43054938519152,0,0
4,0,2,-1,50,0.267458356542731,0.0809731802320964,-0.0425858491808949,0.123559029412991,11.6148372394448,0.0588235294117647,0.00805273676731306
4,0,2,1,50,-0.227230296425078,0,0,0.0719675243805805,7.35078078968002,0,0
4,0,2,0,50,0.00637267858749857,0.0382373351096011,-0.0201099843354226,0.0963301795347745,9.36436300206895,0.0277777777777778,0.00380268125123117
4,0,2,-1,100,-0.0463793702280216,0.0481466362798459,-0.0488049404779289,0.0969515767577748,7.3694006747437,0,0
4,0,2,1,100,-0.481477151334514,0,0,0.09261421882148,4.90149555413927,0.15,0.0410079833174102
4,0,2,0,100,-0.275378202389333,0.0228063013957165,-0.0231181297000716,0.0946687567913039,6.07050324284663,0.0789473684210526,0.0215831491144264
4,0,2,-1,200,0.214719998664724,0.0762981078750563,-0.0365022315577308,0.112800339432787,11.5871230704478,0,0
4,0,2,1,200,0.0944863792943828,0,0,0.0887430207394784,9.36803106645199,0.0625,0.0172097729051691
4,0,2,0,200,0.16409531682458,0.0441725887697695,-0.0211328709018441,0.102670942088236,10.6527685424496,0.0263157894736842,0.00724622017059751
5,0,2,-1,25,0.28894428139801,0.0576416040897987,-0.00982008477644071,0.0674616888662394,2.52666141165462,0.0384615384615385,0.0059361238636237
5,0,2,1,25,-0.101852070722143,0,0,0.0443857953808124,3.46034496729852,0,0
5,0,2,0,25,0.0828880230073838,0.0272487582969957,-0.00464222189431743,0.0552943995739233,3.01896728644868,0.0181818181818182,0.00280616764462211
5,0,2,-1,50,0.124178640771982,0.0416839188554048,-0.0214015093754382,0.063085428230843,3.68080294924729,0,0
5,0,2,1,50,-0.14819888043018,0,0,0.071603780742941,5.06839283375901,0,0
5,0,2,0,50,-0.02485811611222,0.0188757368401833,-0.00969124952850033,0.0677464135676513,4.44005024454615,0,0
5,0,2,-1,100,0.0938308529184813,0.0427639168465294,-0.01481124332471,0.0575751601712394,4.08795576045027,0.0416666666666667,0.0119195849947296
